volume,coll_area,flow_factor,flow_rate,design_case,r_level,inf
0.2,8.0,30,240.0,PVT_6,r0,1.0
0.2,8.0,30,240.0,PVT_6,r1,1.0
0.2,4.0,35,140.0,ST,r1,1.0
0.2,4.0,35,140.0,PVT_9,r0,1.0
0.25,8.0,35,280.0,ST,r0,1.0
0.25,8.0,40,320.0,PVT_9,r1,1.0
0.15,16.0,40,640.0,PVT_0,r1,1.0
0.2,4.0,30,120.0,PVT_6,r0,1.0
0.25,8.0,30,240.0,PVT_6,r0,1.0
0.2,16.0,25,400.0,ST,r1,1.0
0.2,8.0,25,200.0,PVT_6,r0,1.0
0.2,16.0,30,480.0,PVT_0,r1,1.0
0.15,16.0,30,480.0,PVT_6,r1,1.0
0.2,16.0,35,560.0,PVT_0,r1,1.0
0.2,20.0,35,700.0,PVT_0,r0,1.0
0.15,16.0,35,560.0,PVT_0,r0,1.0
0.2,8.0,25,200.0,PVT_6,r1,1.0
0.15,8.0,25,200.0,PVT_0,r0,1.0
0.2,20.0,30,600.0,PVT_6,r1,1.0
0.2,20.0,30,600.0,PVT_6,r0,1.0
0.25,8.0,25,200.0,PVT_9,r1,1.0
0.2,16.0,25,400.0,PVT_0,r0,1.0
0.15,16.0,25,400.0,PVT_6,r1,1.0
0.15,4.0,30,120.0,PVT_0,r1,1.0
0.15,8.0,35,280.0,PVT_6,r0,1.0
0.15,8.0,35,280.0,PVT_0,r0,1.0
0.2,16.0,25,400.0,PVT_6,r0,1.0
0.2,16.0,30,480.0,PVT_9,r1,1.0
0.2,16.0,25,400.0,PVT_0,r1,1.0
0.25,16.0,35,560.0,PVT_6,r1,1.0
0.15,20.0,35,700.0,ST,r0,1.0
0.25,16.0,30,480.0,PVT_6,r1,1.0
0.2,16.0,35,560.0,PVT_6,r1,1.0
0.25,20.0,30,600.0,PVT_9,r1,1.0
0.15,8.0,30,240.0,PVT_6,r1,1.0
0.2,16.0,30,480.0,PVT_9,r0,1.0
0.2,4.0,30,120.0,ST,r1,1.0
0.25,16.0,25,400.0,PVT_6,r0,1.0
0.25,8.0,30,240.0,PVT_6,r1,1.0
0.2,8.0,30,240.0,PVT_9,r1,1.0
0.2,4.0,30,120.0,PVT_0,r1,1.0
0.2,16.0,30,480.0,PVT_0,r0,1.0
0.25,4.0,40,160.0,PVT_0,r0,1.0
0.15,4.0,35,140.0,PVT_0,r1,1.0
0.15,16.0,35,560.0,PVT_6,r1,1.0
0.15,16.0,35,560.0,ST,r1,1.0
0.15,4.0,35,140.0,ST,r1,1.0
0.25,20.0,30,600.0,ST,r0,1.0
0.2,8.0,35,280.0,PVT_6,r1,1.0
0.25,4.0,30,120.0,PVT_0,r1,1.0
0.2,4.0,35,140.0,PVT_6,r0,1.0
0.2,16.0,30,480.0,PVT_6,r1,1.0
0.2,16.0,30,480.0,PVT_6,r0,1.0
0.25,8.0,25,200.0,PVT_0,r1,1.0
0.25,20.0,40,800.0,PVT_0,r1,1.0
0.2,4.0,30,120.0,ST,r0,1.0
0.2,8.0,25,200.0,PVT_0,r1,1.0
0.25,8.0,35,280.0,PVT_0,r0,1.0
0.25,8.0,30,240.0,ST,r0,1.0
0.15,20.0,40,800.0,PVT_9,r1,1.0
0.15,4.0,35,140.0,PVT_6,r1,1.0
0.2,16.0,40,640.0,PVT_6,r0,1.0
0.2,20.0,35,700.0,ST,r0,1.0
0.15,8.0,25,200.0,PVT_0,r1,1.0
0.15,16.0,30,480.0,ST,r0,1.0
0.2,8.0,40,320.0,PVT_0,r1,1.0
0.2,16.0,35,560.0,PVT_9,r0,1.0
0.2,16.0,40,640.0,PVT_0,r1,1.0
0.2,20.0,35,700.0,PVT_6,r0,1.0
0.2,16.0,30,480.0,ST,r1,1.0
0.2,8.0,25,200.0,PVT_9,r0,1.0
0.25,16.0,25,400.0,PVT_0,r1,1.0
0.25,8.0,35,280.0,PVT_9,r0,1.0
0.25,20.0,30,600.0,PVT_6,r0,1.0
0.15,16.0,35,560.0,PVT_0,r1,1.0
0.25,16.0,30,480.0,ST,r0,1.0
0.2,20.0,40,800.0,PVT_6,r0,1.0
0.15,16.0,30,480.0,PVT_6,r0,1.0
0.25,20.0,25,500.0,PVT_0,r0,1.0
0.2,16.0,40,640.0,ST,r1,1.0
0.2,8.0,35,280.0,PVT_6,r0,1.0
0.2,4.0,25,100.0,PVT_0,r1,1.0
0.2,8.0,35,280.0,PVT_0,r1,1.0
0.2,16.0,35,560.0,ST,r1,1.0
0.2,8.0,40,320.0,PVT_6,r1,1.0
0.2,8.0,35,280.0,ST,r1,1.0
0.2,8.0,35,280.0,PVT_0,r0,1.0
0.15,4.0,35,140.0,PVT_9,r1,1.0
0.25,8.0,30,240.0,PVT_9,r1,1.0
0.25,16.0,40,640.0,PVT_9,r1,1.0
0.15,20.0,40,800.0,PVT_0,r0,1.0
0.15,8.0,25,200.0,PVT_6,r1,1.0
0.2,8.0,40,320.0,ST,r1,1.0
0.25,8.0,40,320.0,PVT_0,r1,1.0
0.25,4.0,35,140.0,PVT_6,r0,1.0
0.15,16.0,35,560.0,PVT_6,r0,1.0
0.25,4.0,35,140.0,PVT_9,r1,1.0
0.2,20.0,25,500.0,ST,r0,1.0
0.2,20.0,35,700.0,PVT_9,r0,1.0
0.25,8.0,30,240.0,PVT_0,r0,1.0
0.25,16.0,30,480.0,PVT_0,r1,1.0
0.2,8.0,35,280.0,ST,r0,1.0
0.25,16.0,35,560.0,PVT_6,r0,1.0
0.15,20.0,30,600.0,PVT_0,r1,1.0
0.2,8.0,30,240.0,PVT_0,r0,1.0
0.25,8.0,35,280.0,PVT_6,r0,1.0
0.15,16.0,25,400.0,PVT_0,r0,1.0
0.2,8.0,40,320.0,PVT_6,r0,1.0
0.15,8.0,30,240.0,PVT_0,r0,1.0
0.25,20.0,35,700.0,ST,r1,1.0
0.15,20.0,35,700.0,PVT_9,r0,1.0
0.2,20.0,25,500.0,PVT_0,r1,1.0
0.15,4.0,30,120.0,ST,r0,1.0
0.25,4.0,30,120.0,PVT_6,r0,1.0
0.15,8.0,30,240.0,ST,r0,1.0
0.25,20.0,25,500.0,ST,r1,1.0
0.15,16.0,40,640.0,PVT_0,r0,1.0
0.15,4.0,35,140.0,PVT_0,r0,1.0
0.15,8.0,25,200.0,PVT_6,r0,1.0
0.2,8.0,40,320.0,PVT_9,r1,1.0
0.2,20.0,30,600.0,PVT_0,r1,1.0
0.15,8.0,30,240.0,ST,r1,1.0
0.15,8.0,30,240.0,PVT_0,r1,1.0
0.25,16.0,30,480.0,PVT_6,r0,1.0
0.2,20.0,35,700.0,PVT_0,r1,1.0
0.25,8.0,25,200.0,PVT_6,r1,1.0
0.25,20.0,25,500.0,PVT_9,r0,1.0
0.25,16.0,25,400.0,PVT_0,r0,1.0
0.25,16.0,25,400.0,PVT_6,r1,1.0
0.25,8.0,35,280.0,PVT_0,r1,1.0
0.2,16.0,30,480.0,ST,r0,1.0
0.25,8.0,35,280.0,PVT_9,r1,1.0
0.25,16.0,30,480.0,PVT_9,r0,1.0
0.25,4.0,40,160.0,PVT_9,r0,1.0
0.15,4.0,35,140.0,PVT_9,r0,1.0
0.25,4.0,35,140.0,ST,r0,1.0
0.15,16.0,30,480.0,PVT_0,r0,1.0
0.15,4.0,35,140.0,ST,r0,1.0
0.2,4.0,35,140.0,PVT_6,r1,1.0
0.25,16.0,25,400.0,ST,r1,1.0
0.2,20.0,30,600.0,ST,r0,1.0
0.2,4.0,40,160.0,PVT_6,r1,1.0
0.15,8.0,35,280.0,ST,r1,1.0
0.2,8.0,30,240.0,ST,r1,1.0
0.15,16.0,30,480.0,ST,r1,1.0
0.2,20.0,25,500.0,ST,r1,1.0
0.25,4.0,25,100.0,PVT_0,r1,1.0
0.25,8.0,35,280.0,PVT_6,r1,1.0
0.15,20.0,35,700.0,PVT_6,r0,1.0
0.15,8.0,40,320.0,ST,r1,1.0
0.25,16.0,25,400.0,PVT_9,r0,1.0
0.25,16.0,30,480.0,ST,r1,1.0
0.15,20.0,35,700.0,PVT_6,r1,1.0
0.25,4.0,40,160.0,ST,r1,1.0
0.2,16.0,40,640.0,ST,r0,1.0
0.15,4.0,25,100.0,PVT_0,r0,1.0
0.15,20.0,35,700.0,PVT_0,r1,1.0
0.25,20.0,35,700.0,ST,r0,1.0
0.15,20.0,40,800.0,PVT_9,r0,1.0
0.2,4.0,30,120.0,PVT_0,r0,1.0
0.2,16.0,35,560.0,PVT_0,r0,1.0
0.15,4.0,30,120.0,PVT_9,r1,1.0
0.25,4.0,30,120.0,PVT_6,r1,1.0
0.15,4.0,40,160.0,PVT_0,r1,1.0
0.25,16.0,35,560.0,PVT_0,r0,1.0
0.2,20.0,40,800.0,PVT_9,r1,1.0
0.15,4.0,30,120.0,PVT_6,r1,1.0
