volume,coll_area,r_level,design_case,flow_rate
0.15,4,r0,ASHP,100
0.15,4,r1,ASHP,100
0.15,8,r0,ASHP,100
0.15,8,r1,ASHP,100
0.15,16,r0,ASHP,100
0.15,16,r1,ASHP,100
0.15,20,r0,ASHP,100
0.15,20,r1,ASHP,100
0.2,4,r0,ASHP,100
0.2,4,r1,ASHP,100
0.2,8,r0,ASHP,100
0.2,8,r1,ASHP,100
0.2,16,r0,ASHP,100
0.2,16,r1,ASHP,100
0.2,20,r0,ASHP,100
0.2,20,r1,ASHP,100
0.25,4,r0,ASHP,100
0.25,4,r1,ASHP,100
0.25,8,r0,ASHP,100
0.25,8,r1,ASHP,100
0.25,16,r0,ASHP,100
0.25,16,r1,ASHP,100
0.25,20,r0,ASHP,100
0.25,20,r1,ASHP,100
