volume,coll_area,flow_factor,design_case,r_level,draw,flow_rate,inf
0.15,0.001,0,cp_PV,r0,low,0.0,1.0
0.15,0.001,0,cp_PV,r0,high,0.0,1.0
0.15,0.001,0,cp_PV,r1,low,0.0,0.4
0.15,0.001,0,cp_PV,r1,high,0.0,0.4
0.15,0.001,0,cp_PV,r2,low,0.0,0.2
0.15,0.001,0,cp_PV,r2,high,0.0,0.2
0.15,4.0,0,cp_PV,r0,low,0.0,1.0
0.15,4.0,0,cp_PV,r0,high,0.0,1.0
0.15,4.0,0,cp_PV,r1,low,0.0,0.4
0.15,4.0,0,cp_PV,r1,high,0.0,0.4
0.15,4.0,0,cp_PV,r2,low,0.0,0.2
0.15,4.0,0,cp_PV,r2,high,0.0,0.2
0.15,4.0,0,ASHP,r0,low,0.0,1.0
0.15,4.0,0,ASHP,r0,high,0.0,1.0
0.15,4.0,0,ASHP,r1,low,0.0,0.4
0.15,4.0,0,ASHP,r1,high,0.0,0.4
0.15,4.0,0,ASHP,r2,low,0.0,0.2
0.15,4.0,0,ASHP,r2,high,0.0,0.2
0.15,4.0,25,ST,r0,low,100.0,1.0
0.15,4.0,25,ST,r0,high,100.0,1.0
0.15,4.0,25,ST,r1,low,100.0,0.4
0.15,4.0,25,ST,r1,high,100.0,0.4
0.15,4.0,25,ST,r2,low,100.0,0.2
0.15,4.0,25,ST,r2,high,100.0,0.2
0.15,4.0,25,PVT_0,r0,low,100.0,1.0
0.15,4.0,25,PVT_0,r0,high,100.0,1.0
0.15,4.0,25,PVT_0,r1,low,100.0,0.4
0.15,4.0,25,PVT_0,r1,high,100.0,0.4
0.15,4.0,25,PVT_0,r2,low,100.0,0.2
0.15,4.0,25,PVT_0,r2,high,100.0,0.2
0.15,4.0,25,PVT_6,r0,low,100.0,1.0
0.15,4.0,25,PVT_6,r0,high,100.0,1.0
0.15,4.0,25,PVT_6,r1,low,100.0,0.4
0.15,4.0,25,PVT_6,r1,high,100.0,0.4
0.15,4.0,25,PVT_6,r2,low,100.0,0.2
0.15,4.0,25,PVT_6,r2,high,100.0,0.2
0.15,4.0,25,PVT_9,r0,low,100.0,1.0
0.15,4.0,25,PVT_9,r0,high,100.0,1.0
0.15,4.0,25,PVT_9,r1,low,100.0,0.4
0.15,4.0,25,PVT_9,r1,high,100.0,0.4
0.15,4.0,25,PVT_9,r2,low,100.0,0.2
0.15,4.0,25,PVT_9,r2,high,100.0,0.2
0.15,4.0,40,ST,r0,low,160.0,1.0
0.15,4.0,40,ST,r0,high,160.0,1.0
0.15,4.0,40,ST,r1,low,160.0,0.4
0.15,4.0,40,ST,r1,high,160.0,0.4
0.15,4.0,40,ST,r2,low,160.0,0.2
0.15,4.0,40,ST,r2,high,160.0,0.2
0.15,4.0,40,PVT_0,r0,low,160.0,1.0
0.15,4.0,40,PVT_0,r0,high,160.0,1.0
0.15,4.0,40,PVT_0,r1,low,160.0,0.4
0.15,4.0,40,PVT_0,r1,high,160.0,0.4
0.15,4.0,40,PVT_0,r2,low,160.0,0.2
0.15,4.0,40,PVT_0,r2,high,160.0,0.2
0.15,4.0,40,PVT_6,r0,low,160.0,1.0
0.15,4.0,40,PVT_6,r0,high,160.0,1.0
0.15,4.0,40,PVT_6,r1,low,160.0,0.4
0.15,4.0,40,PVT_6,r1,high,160.0,0.4
0.15,4.0,40,PVT_6,r2,low,160.0,0.2
0.15,4.0,40,PVT_6,r2,high,160.0,0.2
0.15,4.0,40,PVT_9,r0,low,160.0,1.0
0.15,4.0,40,PVT_9,r0,high,160.0,1.0
0.15,4.0,40,PVT_9,r1,low,160.0,0.4
0.15,4.0,40,PVT_9,r1,high,160.0,0.4
0.15,4.0,40,PVT_9,r2,low,160.0,0.2
0.15,4.0,40,PVT_9,r2,high,160.0,0.2
0.15,10.0,0,cp_PV,r0,low,0.0,1.0
0.15,10.0,0,cp_PV,r0,high,0.0,1.0
0.15,10.0,0,cp_PV,r1,low,0.0,0.4
0.15,10.0,0,cp_PV,r1,high,0.0,0.4
0.15,10.0,0,cp_PV,r2,low,0.0,0.2
0.15,10.0,0,cp_PV,r2,high,0.0,0.2
0.15,10.0,0,ASHP,r0,low,0.0,1.0
0.15,10.0,0,ASHP,r0,high,0.0,1.0
0.15,10.0,0,ASHP,r1,low,0.0,0.4
0.15,10.0,0,ASHP,r1,high,0.0,0.4
0.15,10.0,0,ASHP,r2,low,0.0,0.2
0.15,10.0,0,ASHP,r2,high,0.0,0.2
0.15,10.0,25,ST,r0,low,250.0,1.0
0.15,10.0,25,ST,r0,high,250.0,1.0
0.15,10.0,25,ST,r1,low,250.0,0.4
0.15,10.0,25,ST,r1,high,250.0,0.4
0.15,10.0,25,ST,r2,low,250.0,0.2
0.15,10.0,25,ST,r2,high,250.0,0.2
0.15,10.0,25,PVT_0,r0,low,250.0,1.0
0.15,10.0,25,PVT_0,r0,high,250.0,1.0
0.15,10.0,25,PVT_0,r1,low,250.0,0.4
0.15,10.0,25,PVT_0,r1,high,250.0,0.4
0.15,10.0,25,PVT_0,r2,low,250.0,0.2
0.15,10.0,25,PVT_0,r2,high,250.0,0.2
0.15,10.0,25,PVT_6,r0,low,250.0,1.0
0.15,10.0,25,PVT_6,r0,high,250.0,1.0
0.15,10.0,25,PVT_6,r1,low,250.0,0.4
0.15,10.0,25,PVT_6,r1,high,250.0,0.4
0.15,10.0,25,PVT_6,r2,low,250.0,0.2
0.15,10.0,25,PVT_6,r2,high,250.0,0.2
0.15,10.0,25,PVT_9,r0,low,250.0,1.0
0.15,10.0,25,PVT_9,r0,high,250.0,1.0
0.15,10.0,25,PVT_9,r1,low,250.0,0.4
0.15,10.0,25,PVT_9,r1,high,250.0,0.4
0.15,10.0,25,PVT_9,r2,low,250.0,0.2
0.15,10.0,25,PVT_9,r2,high,250.0,0.2
0.15,10.0,40,ST,r0,low,400.0,1.0
0.15,10.0,40,ST,r0,high,400.0,1.0
0.15,10.0,40,ST,r1,low,400.0,0.4
0.15,10.0,40,ST,r1,high,400.0,0.4
0.15,10.0,40,ST,r2,low,400.0,0.2
0.15,10.0,40,ST,r2,high,400.0,0.2
0.15,10.0,40,PVT_0,r0,low,400.0,1.0
0.15,10.0,40,PVT_0,r0,high,400.0,1.0
0.15,10.0,40,PVT_0,r1,low,400.0,0.4
0.15,10.0,40,PVT_0,r1,high,400.0,0.4
0.15,10.0,40,PVT_0,r2,low,400.0,0.2
0.15,10.0,40,PVT_0,r2,high,400.0,0.2
0.15,10.0,40,PVT_6,r0,low,400.0,1.0
0.15,10.0,40,PVT_6,r0,high,400.0,1.0
0.15,10.0,40,PVT_6,r1,low,400.0,0.4
0.15,10.0,40,PVT_6,r1,high,400.0,0.4
0.15,10.0,40,PVT_6,r2,low,400.0,0.2
0.15,10.0,40,PVT_6,r2,high,400.0,0.2
0.15,10.0,40,PVT_9,r0,low,400.0,1.0
0.15,10.0,40,PVT_9,r0,high,400.0,1.0
0.15,10.0,40,PVT_9,r1,low,400.0,0.4
0.15,10.0,40,PVT_9,r1,high,400.0,0.4
0.15,10.0,40,PVT_9,r2,low,400.0,0.2
0.15,10.0,40,PVT_9,r2,high,400.0,0.2
0.15,20.0,0,cp_PV,r0,low,0.0,1.0
0.15,20.0,0,cp_PV,r0,high,0.0,1.0
0.15,20.0,0,cp_PV,r1,low,0.0,0.4
0.15,20.0,0,cp_PV,r1,high,0.0,0.4
0.15,20.0,0,cp_PV,r2,low,0.0,0.2
0.15,20.0,0,cp_PV,r2,high,0.0,0.2
0.15,20.0,0,ASHP,r0,low,0.0,1.0
0.15,20.0,0,ASHP,r0,high,0.0,1.0
0.15,20.0,0,ASHP,r1,low,0.0,0.4
0.15,20.0,0,ASHP,r1,high,0.0,0.4
0.15,20.0,0,ASHP,r2,low,0.0,0.2
0.15,20.0,0,ASHP,r2,high,0.0,0.2
0.15,20.0,25,ST,r0,low,500.0,1.0
0.15,20.0,25,ST,r0,high,500.0,1.0
0.15,20.0,25,ST,r1,low,500.0,0.4
0.15,20.0,25,ST,r1,high,500.0,0.4
0.15,20.0,25,ST,r2,low,500.0,0.2
0.15,20.0,25,ST,r2,high,500.0,0.2
0.15,20.0,25,PVT_0,r0,low,500.0,1.0
0.15,20.0,25,PVT_0,r0,high,500.0,1.0
0.15,20.0,25,PVT_0,r1,low,500.0,0.4
0.15,20.0,25,PVT_0,r1,high,500.0,0.4
0.15,20.0,25,PVT_0,r2,low,500.0,0.2
