volume,coll_area,flow_factor,design_case,r_level,flow_rate,inf
0.2,8,30,PVT_6,r0,240,1
0.2,8,30,PVT_6,r1,240,1
0.2,4,35,ST,r1,140,1
0.2,4,35,PVT_9,r0,140,1
0.25,8,35,ST,r0,280,1
0.25,8,40,PVT_9,r1,320,1
0.15,16,40,PVT_0,r1,640,1
0.2,4,30,PVT_6,r0,120,1
0.25,8,30,PVT_6,r0,240,1
0.2,16,25,ST,r1,400,1
0.2,8,25,PVT_6,r0,200,1
0.2,16,30,PVT_0,r1,480,1
0.15,16,30,PVT_6,r1,480,1
0.2,16,35,PVT_0,r1,560,1
0.2,20,35,PVT_0,r0,700,1
0.15,16,35,PVT_0,r0,560,1
0.2,8,25,PVT_6,r1,200,1
0.15,8,25,PVT_0,r0,200,1
0.2,20,30,PVT_6,r1,600,1
0.2,20,30,PVT_6,r0,600,1
0.25,8,25,PVT_9,r1,200,1
0.2,16,25,PVT_0,r0,400,1
0.15,16,25,PVT_6,r1,400,1
0.15,4,30,PVT_0,r1,120,1
0.15,8,35,PVT_6,r0,280,1
0.15,8,35,PVT_0,r0,280,1
0.2,16,25,PVT_6,r0,400,1
0.2,16,30,PVT_9,r1,480,1
0.2,16,25,PVT_0,r1,400,1
0.25,16,35,PVT_6,r1,560,1
0.15,20,35,ST,r0,700,1
0.25,16,30,PVT_6,r1,480,1
0.2,16,35,PVT_6,r1,560,1
0.25,20,30,PVT_9,r1,600,1
0.15,8,30,PVT_6,r1,240,1
0.2,16,30,PVT_9,r0,480,1
0.2,4,30,ST,r1,120,1
0.25,16,25,PVT_6,r0,400,1
0.25,8,30,PVT_6,r1,240,1
0.2,8,30,PVT_9,r1,240,1
0.2,4,30,PVT_0,r1,120,1
0.2,16,30,PVT_0,r0,480,1
0.25,4,40,PVT_0,r0,160,1
0.15,4,35,PVT_0,r1,140,1
0.15,16,35,PVT_6,r1,560,1
0.15,16,35,ST,r1,560,1
0.15,4,35,ST,r1,140,1
0.25,20,30,ST,r0,600,1
0.2,8,35,PVT_6,r1,280,1
0.25,4,30,PVT_0,r1,120,1
0.2,4,35,PVT_6,r0,140,1
0.2,16,30,PVT_6,r1,480,1
0.2,16,30,PVT_6,r0,480,1
0.25,8,25,PVT_0,r1,200,1
0.25,20,40,PVT_0,r1,800,1
0.2,4,30,ST,r0,120,1
0.2,8,25,PVT_0,r1,200,1
0.25,8,35,PVT_0,r0,280,1
0.25,8,30,ST,r0,240,1
0.15,20,40,PVT_9,r1,800,1
0.15,4,35,PVT_6,r1,140,1
0.2,16,40,PVT_6,r0,640,1
0.2,20,35,ST,r0,700,1
0.15,8,25,PVT_0,r1,200,1
0.15,16,30,ST,r0,480,1
0.2,8,40,PVT_0,r1,320,1
0.2,16,35,PVT_9,r0,560,1
0.2,16,40,PVT_0,r1,640,1
0.2,20,35,PVT_6,r0,700,1
0.2,16,30,ST,r1,480,1
0.2,8,25,PVT_9,r0,200,1
0.25,16,25,PVT_0,r1,400,1
0.25,8,35,PVT_9,r0,280,1
0.25,20,30,PVT_6,r0,600,1
0.15,16,35,PVT_0,r1,560,1
0.25,16,30,ST,r0,480,1
0.2,20,40,PVT_6,r0,800,1
0.15,16,30,PVT_6,r0,480,1
0.25,20,25,PVT_0,r0,500,1
0.2,16,40,ST,r1,640,1
0.2,8,35,PVT_6,r0,280,1
0.2,4,25,PVT_0,r1,100,1
0.2,8,35,PVT_0,r1,280,1
0.2,16,35,ST,r1,560,1
0.2,8,40,PVT_6,r1,320,1
0.2,8,35,ST,r1,280,1
0.2,8,35,PVT_0,r0,280,1
0.15,4,35,PVT_9,r1,140,1
0.25,8,30,PVT_9,r1,240,1
0.25,16,40,PVT_9,r1,640,1
0.15,20,40,PVT_0,r0,800,1
0.15,8,25,PVT_6,r1,200,1
0.2,8,40,ST,r1,320,1
0.25,8,40,PVT_0,r1,320,1
0.25,4,35,PVT_6,r0,140,1
0.15,16,35,PVT_6,r0,560,1
0.25,4,35,PVT_9,r1,140,1
0.2,20,25,ST,r0,500,1
0.2,20,35,PVT_9,r0,700,1
0.25,8,30,PVT_0,r0,240,1
0.25,16,30,PVT_0,r1,480,1
0.2,8,35,ST,r0,280,1
0.25,16,35,PVT_6,r0,560,1
0.15,20,30,PVT_0,r1,600,1
0.2,8,30,PVT_0,r0,240,1
0.25,8,35,PVT_6,r0,280,1
0.15,16,25,PVT_0,r0,400,1
0.2,8,40,PVT_6,r0,320,1
0.15,8,30,PVT_0,r0,240,1
0.25,20,35,ST,r1,700,1
0.15,20,35,PVT_9,r0,700,1
0.2,20,25,PVT_0,r1,500,1
0.15,4,30,ST,r0,120,1
0.25,4,30,PVT_6,r0,120,1
0.15,8,30,ST,r0,240,1
0.25,20,25,ST,r1,500,1
0.15,16,40,PVT_0,r0,640,1
0.15,4,35,PVT_0,r0,140,1
0.15,8,25,PVT_6,r0,200,1
0.2,8,40,PVT_9,r1,320,1
0.2,20,30,PVT_0,r1,600,1
0.15,8,30,ST,r1,240,1
0.15,8,30,PVT_0,r1,240,1
0.25,16,30,PVT_6,r0,480,1
0.2,20,35,PVT_0,r1,700,1
0.25,8,25,PVT_6,r1,200,1
0.25,20,25,PVT_9,r0,500,1
0.25,16,25,PVT_0,r0,400,1
0.25,16,25,PVT_6,r1,400,1
0.25,8,35,PVT_0,r1,280,1
0.2,16,30,ST,r0,480,1
0.25,8,35,PVT_9,r1,280,1
0.25,16,30,PVT_9,r0,480,1
0.25,4,40,PVT_9,r0,160,1
0.15,4,35,PVT_9,r0,140,1
0.25,4,35,ST,r0,140,1
0.15,16,30,PVT_0,r0,480,1
0.15,4,35,ST,r0,140,1
0.2,4,35,PVT_6,r1,140,1
0.25,16,25,ST,r1,400,1
0.2,20,30,ST,r0,600,1
0.2,4,40,PVT_6,r1,160,1
0.15,8,35,ST,r1,280,1
0.2,8,30,ST,r1,240,1
0.15,16,30,ST,r1,480,1
0.2,20,25,ST,r1,500,1
0.25,4,25,PVT_0,r1,100,1
0.25,8,35,PVT_6,r1,280,1
0.15,20,35,PVT_6,r0,700,1
0.15,8,40,ST,r1,320,1
0.25,16,25,PVT_9,r0,400,1
