volume,coll_area,design_case,flow
0.2,16,cp_PV,100
0.2,8,cp_PV,100
0.2,8,cp,100
0.2,8,cp,50
0.4,8,cp,50
0.2,16,cp,50
0.2,20,cp,50
0.2,20,cp,100
0.4,20,cp,100
0.4,20,cp_PV,100
0.4,16,cp_PV,100
0.4,16,cp_PV,200
0.2,16,cp_PV,200
0.2,20,cp_PV,200
0.2,20,cp,200
0.1,20,cp,200
0.3,20,cp,200
0.3,16,cp,200
0.3,16,cp_PV,200
0.3,16,cp_PV,100
0.3,8,cp,100
0.1,8,cp,100
0.1,8,cp,200
0.1,8,cp_PV,200
0.1,16,cp_PV,200
0.1,20,cp,100
0.1,20,cp_PV,100
0.1,20,cp_PV,200
0.1,16,cp_PV,200
0.3,16,cp_PV,200
0.4,16,cp,200
0.2,16,cp,200
0.2,20,cp,200
0.2,20,cp,100
0.2,20,cp_PV,100
0.2,16,PVT,100
0.2,16,PVT,50
0.4,16,PVT,50
0.4,16,cp_PV,50
0.4,20,cp_PV,50
0.3,20,cp,50
0.3,16,cp,50
0.3,16,cp_PV,50
0.3,16,cp_PV,100
0.1,16,cp_PV,100
0.1,20,cp_PV,100
0.1,20,cp,100
0.1,16,cp,100
0.1,16,cp,200
0.3,16,cp,200
0.2,8,cp,100
0.2,8,cp_PV,100
0.4,8,cp_PV,100
0.4,8,cp_PV,50
0.4,16,cp_PV,50
0.2,20,PVT,200
0.2,20,PVT,100
0.4,20,PVT,100
0.4,20,cp_PV,100
0.4,16,cp_PV,100
0.4,16,PVT,100
0.2,16,PVT,100
0.2,16,PVT,50
0.2,8,PVT,50
0.2,8,cp_PV,50
0.4,20,cp_PV,100
0.4,20,cp_PV,200
0.4,16,cp_PV,200
0.2,16,cp_PV,200
0.2,16,PVT,200
0.4,16,cp,100
0.4,8,cp,100
0.4,8,cp_PV,100
0.4,8,cp_PV,200
0.2,8,cp_PV,200
0.3,16,cp_PV,100
0.3,16,PVT,100
0.1,16,PVT,100
0.1,20,PVT,100
0.1,20,PVT,50
0.4,8,PVT,200
0.4,8,cp_PV,200
0.4,8,cp_PV,100
0.2,8,cp_PV,100
0.2,16,cp_PV,100
0.3,16,cp,100
0.3,20,cp,100
0.3,20,cp_PV,100
0.1,20,cp_PV,100
0.1,20,cp_PV,200
0.1,16,PVT,50
0.1,8,PVT,50
0.1,8,PVT,100
0.3,8,PVT,100
0.3,8,cp_PV,100
0.2,20,cp,50
0.2,20,cp,100
0.4,20,cp,100
0.4,16,cp,100
0.4,16,cp_PV,100
0.1,16,cp,100
0.1,8,cp,100
0.1,8,cp,50
0.1,8,cp_PV,50
0.3,8,cp_PV,50
0.1,8,PVT,200
0.3,8,PVT,200
0.3,8,cp_PV,200
0.3,16,cp_PV,200
0.3,16,cp_PV,100
0.3,16,cp_PV,100
0.3,8,cp_PV,100
0.3,8,PVT,100
0.3,8,PVT,50
0.1,8,PVT,50
0.3,20,cp_PV,50
0.1,20,cp_PV,50
0.1,16,cp_PV,50
0.1,16,cp,50
0.1,16,cp,100
0.3,16,cp_PV,100
0.3,16,cp_PV,200
0.3,20,cp_PV,200
0.3,20,cp,200
0.1,20,cp,200
0.3,20,PVT,100
0.3,20,cp_PV,100
0.3,20,cp_PV,200
0.3,16,cp_PV,200
0.1,16,cp_PV,200
0.3,16,cp_PV,100
0.3,20,cp_PV,100
0.3,20,cp_PV,200
0.3,20,cp,200
0.1,20,cp,200
0.3,16,cp_PV,50
0.1,16,cp_PV,50
0.1,8,cp_PV,50
0.1,8,cp,50
0.1,8,cp,100
0.2,20,cp,50
0.4,20,cp,50
0.4,16,cp,50
0.4,16,cp,100
0.4,16,cp_PV,100
0.2,20,cp_PV,200
0.4,20,cp_PV,200
0.4,16,cp_PV,200
0.4,16,PVT,200
0.4,16,PVT,100
0.1,8,cp_PV,100
0.1,8,cp_PV,200
0.1,16,cp_PV,200
0.1,16,cp,200
0.3,16,cp,200
0.4,16,PVT,200
0.4,16,cp_PV,200
0.4,8,cp_PV,200
0.4,8,cp_PV,100
0.2,8,cp_PV,100
