volume,coll_area,flow_rate,design_case,r_level,flow_factor,inf
0.15,20,200,PVT_9,r1,1,1
0.15,20,100,PVT_9,r1,1,1
0.2,20,100,PVT_9,r1,1,1
0.2,8,100,PVT_9,r1,1,1
0.2,8,100,PVT_9,r0,1,1
0.2,8,100,PVT_6,r0,1,1
0.25,16,50,PVT_6,r0,1,1
0.25,16,50,PVT_9,r0,1,1
0.2,16,50,PVT_9,r0,1,1
0.2,4,50,PVT_9,r0,1,1
0.2,4,50,PVT_9,r1,1,1
0.2,4,100,PVT_9,r1,1,1
0.2,16,50,PVT_6,r0,1,1
0.2,4,50,PVT_6,r0,1,1
0.2,4,50,PVT_6,r1,1,1
0.2,4,50,PVT_9,r1,1,1
0.15,4,50,PVT_9,r1,1,1
0.15,4,100,PVT_9,r1,1,1
0.2,8,200,PVT_9,r1,1,1
0.2,8,200,PVT_6,r1,1,1
0.2,8,200,PVT_6,r0,1,1
0.2,20,200,PVT_6,r0,1,1
0.2,20,100,PVT_6,r0,1,1
0.25,20,100,PVT_6,r0,1,1
0.15,20,200,PVT_6,r0,1,1
0.2,20,200,PVT_6,r0,1,1
0.2,20,200,PVT_6,r1,1,1
0.2,20,200,PVT_9,r1,1,1
0.2,20,100,PVT_9,r1,1,1
0.2,8,100,PVT_9,r1,1,1
0.15,16,100,PVT_9,r1,1,1
0.15,16,50,PVT_9,r1,1,1
0.15,4,50,PVT_9,r1,1,1
0.15,4,50,PVT_9,r0,1,1
0.2,4,50,PVT_9,r0,1,1
0.2,4,50,PVT_6,r0,1,1
0.2,8,200,PVT_6,r1,1,1
0.25,8,200,PVT_6,r1,1,1
0.25,8,200,PVT_9,r1,1,1
0.25,8,200,PVT_9,r0,1,1
0.25,8,100,PVT_9,r0,1,1
0.25,20,100,PVT_9,r0,1,1
0.25,4,50,PVT_6,r0,1,1
0.25,4,50,PVT_9,r0,1,1
0.2,4,50,PVT_9,r0,1,1
0.2,16,50,PVT_9,r0,1,1
0.2,16,50,PVT_9,r1,1,1
0.2,16,100,PVT_9,r1,1,1
0.25,20,100,PVT_6,r0,1,1
0.25,20,100,PVT_9,r0,1,1
0.2,20,100,PVT_9,r0,1,1
0.2,8,100,PVT_9,r0,1,1
0.2,8,50,PVT_9,r0,1,1
0.2,8,50,PVT_9,r1,1,1
0.25,8,200,PVT_6,r0,1,1
0.2,8,200,PVT_6,r0,1,1
0.2,8,200,PVT_9,r0,1,1
0.2,8,100,PVT_9,r0,1,1
0.2,8,100,PVT_9,r1,1,1
0.2,20,100,PVT_9,r1,1,1
0.2,16,200,PVT_6,r1,1,1
0.25,16,200,PVT_6,r1,1,1
0.25,16,100,PVT_6,r1,1,1
0.25,16,100,PVT_6,r0,1,1
0.25,16,100,PVT_9,r0,1,1
0.25,4,100,PVT_9,r0,1,1
0.2,8,50,PVT_9,r1,1,1
0.2,8,50,PVT_6,r1,1,1
0.2,20,50,PVT_6,r1,1,1
0.25,20,50,PVT_6,r1,1,1
0.25,20,50,PVT_6,r0,1,1
0.25,20,100,PVT_6,r0,1,1
0.2,4,200,PVT_6,r1,1,1
0.2,16,200,PVT_6,r1,1,1
0.2,16,200,PVT_9,r1,1,1
0.25,16,200,PVT_9,r1,1,1
0.25,16,200,PVT_9,r0,1,1
0.25,16,100,PVT_9,r0,1,1
0.2,8,100,PVT_9,r1,1,1
0.2,8,100,PVT_9,r0,1,1
0.2,20,100,PVT_9,r0,1,1
0.25,20,100,PVT_9,r0,1,1
0.25,20,200,PVT_9,r0,1,1
0.25,20,200,PVT_6,r0,1,1
0.2,8,50,PVT_6,r0,1,1
0.2,8,50,PVT_6,r1,1,1
0.2,8,50,PVT_9,r1,1,1
0.2,8,100,PVT_9,r1,1,1
0.15,8,100,PVT_9,r1,1,1
0.15,20,100,PVT_9,r1,1,1
0.15,20,200,PVT_9,r1,1,1
0.15,20,100,PVT_9,r1,1,1
0.2,20,100,PVT_9,r1,1,1
0.2,8,100,PVT_9,r1,1,1
0.2,8,100,PVT_6,r0,1,1
