volume,coll_area,flow_rate,design_case,r_level,flow_factor,inf
0.15,20.0,200,PVT_9,r1,1,1
0.15,20.0,100,PVT_9,r1,1,1
0.2,20.0,100,PVT_9,r1,1,1
0.2,8.0,100,PVT_9,r1,1,1
0.2,8.0,100,PVT_9,r0,1,1
0.2,8.0,100,PVT_6,r0,1,1
0.25,16.0,50,PVT_6,r0,1,1
0.25,16.0,50,PVT_9,r0,1,1
0.2,16.0,50,PVT_9,r0,1,1
0.2,4.0,50,PVT_9,r0,1,1
0.2,4.0,50,PVT_9,r1,1,1
0.2,4.0,100,PVT_9,r1,1,1
0.2,16.0,50,PVT_6,r0,1,1
0.2,4.0,50,PVT_6,r0,1,1
0.2,4.0,50,PVT_6,r1,1,1
0.15,4.0,50,PVT_9,r1,1,1
0.15,4.0,100,PVT_9,r1,1,1
0.2,8.0,200,PVT_9,r1,1,1
0.2,8.0,200,PVT_6,r1,1,1
0.2,8.0,200,PVT_6,r0,1,1
0.2,20.0,200,PVT_6,r0,1,1
0.2,20.0,100,PVT_6,r0,1,1
0.25,20.0,100,PVT_6,r0,1,1
0.15,20.0,200,PVT_6,r0,1,1
0.2,20.0,200,PVT_6,r1,1,1
0.2,20.0,200,PVT_9,r1,1,1
0.15,16.0,100,PVT_9,r1,1,1
0.15,16.0,50,PVT_9,r1,1,1
0.15,4.0,50,PVT_9,r0,1,1
0.25,8.0,200,PVT_6,r1,1,1
0.25,8.0,200,PVT_9,r1,1,1
0.25,8.0,200,PVT_9,r0,1,1
0.25,8.0,100,PVT_9,r0,1,1
0.25,20.0,100,PVT_9,r0,1,1
0.25,4.0,50,PVT_6,r0,1,1
0.25,4.0,50,PVT_9,r0,1,1
0.2,16.0,50,PVT_9,r1,1,1
0.2,16.0,100,PVT_9,r1,1,1
0.2,20.0,100,PVT_9,r0,1,1
0.2,8.0,50,PVT_9,r0,1,1
0.2,8.0,50,PVT_9,r1,1,1
0.25,8.0,200,PVT_6,r0,1,1
0.2,8.0,200,PVT_9,r0,1,1
0.2,16.0,200,PVT_6,r1,1,1
