label,el_bill_1,el_bill_0.5,el_bill_0.1,el_bill_0,gas_bill,el_em,gas_em,Q2grid,Qfrom_grid,Qpv,Qload,Q4sh,Q4dhw,Qaux,peak_load,peak_export,el_bill_jan_1,el_bill_jan_0.5,el_bill_jan_0.1,el_bill_jan_0,gas_bill_jan,el_em_jan,gas_em_jan,spf_jan,opp_import,opp_export,import_in,export_in,COP_min,COP_median,COP_max,unmet
0,3811.2000000000003,3889.2900000000004,3951.8,3967.71,0.0,4016.177977424893,0.0,332.53871686149546,9860.788826871614,1036.3237424954702,10316.560424691917,6402.796037669301,884.4030962266154,277.65000000000003,5.718884951914458,0.6930171180594894,96.0,96.07,96.07,96.47,0.0,98.47201162402365,0.0,1.1796667596908645,3.531653108466462,-0.5954378377151727,79,8751,1.1127506428894414,1.2293019698860952,3.3940953301016714,677.0
1,2241.2000000000003,2328.62,2398.25,2416.04,0.0,2453.7454644938034,0.0,371.19653433525104,5974.001854412175,1036.7144211481902,6393.461278101444,2628.209476645431,775.4878297938931,238.20000000000002,5.700688741594054,0.6931917388234937,48.800000000000004,49.27,49.34,49.74,0.0,50.91052111146034,0.0,1.204058871938249,3.0955744312074227,-0.591974582528172,76,8748,1.1127506428894414,1.2426848213592607,3.316982853059093,63.900000000000006
2,3127.6000000000004,3127.6000000000004,3127.6000000000004,3127.6000000000004,0.0,3202.8428903248655,0.0,0.0,7818.618017301476,1036.2271598732025,8503.586594988597,4330.098733606416,1074.0767676382332,347.85,5.367764266490567,0.0,70.4,70.4,70.4,70.4,0.0,71.6649224781653,0.0,1.4462119229257007,3.3815095694182027,0.0,88,8760,1.1127506428894414,1.478961644116648,3.333687238271158,1195.6000000000001
3,2108.8,2108.8,2108.8,2108.8,0.0,2179.2511536162415,0.0,0.0,5271.131009746317,1036.6266011201617,5946.89493040185,1807.5719771515262,1056.852346002215,330.90000000000003,5.38825374121575,0.0,42.800000000000004,42.800000000000004,42.800000000000004,42.800000000000004,0.0,43.767717711351835,0.0,1.4342805258559608,3.3383639099635234,0.0,88,8760,1.1152590028520368,1.5165209766379193,3.1441639220152404,66.39999999999999
4,3860.0,3937.55,3999.59,4015.1,0.0,4061.744864469215,0.0,329.6788573051058,9979.753099001757,1036.253528595812,10438.25165667954,6357.468468730927,964.8634116647529,364.35,5.707872787117176,0.6938331902573889,98.0,98.07,98.07,98.47,0.0,100.62998640932507,0.0,1.2070253662547024,3.54527688302317,-0.5957235670781448,80,8752,1.1127506428894414,1.2314811485536823,3.6402135105618023,669.1
5,2284.8,2370.81,2439.5,2456.82,0.0,2490.9348718463484,0.0,365.826072541339,6077.326259413264,1036.6326324118422,6501.919326726409,2633.7317977643615,809.5762381660475,306.90000000000003,5.706481269871597,0.6930625387683759,49.6,50.07,50.14,50.540000000000006,0.0,51.612840424320545,0.0,1.1912823208070809,3.0870840597604663,-0.5949989524802372,77,8749,1.1127506428894414,1.2461711307811774,3.6402135105618023,63.900000000000006
6,3198.0,3198.0,3198.0,3198.0,0.0,3272.256026674469,0.0,0.0,7994.515517083655,1036.1389722260585,8679.286094649437,4349.498471371731,1153.5763324817049,424.5,5.419606091016447,0.0,70.4,70.4,70.4,70.4,0.0,71.81246979965442,0.0,1.4447687583471698,3.407323721899205,0.0,88,8760,1.1127506428894414,1.4835060871824997,3.2730298140642917,1189.1000000000001
7,2173.2000000000003,2173.2000000000003,2173.2000000000003,2173.2000000000003,0.0,2243.059428512035,0.0,0.0,5432.143192644213,1036.5356218272716,6107.215715880179,1821.9647890858776,1117.4396359983011,416.1,5.389978232528569,0.0,41.2,41.2,41.2,41.2,0.0,42.35868302290846,0.0,1.436555261296245,3.3730967352084136,0.0,88,8760,1.1127506428894414,1.5258045526134163,3.2730253847374144,66.3
8,3923.2000000000003,3998.9400000000005,4059.57,4075.01,0.0,4119.535023253648,0.0,322.97917293972154,10130.86320367754,1036.1889462125016,10595.7454050322,6381.015418213613,1028.7628057421468,434.55,5.735277620865717,0.6930936167443502,98.80000000000001,98.87,98.87,99.27,0.0,101.27232809452963,0.0,1.1912784660972935,3.5571908771420837,-0.5880232570638001,80,8752,1.1127506428894414,1.233859648417632,3.5124353995069564,683.9999999999999
9,2348.4,2433.0,2500.68,2517.6,0.0,2550.7030598675165,0.0,359.51857759693365,6230.853536746917,1036.5740451480267,6661.442528481682,2648.4966634136017,901.3845742720804,359.85,5.699692284341471,0.693363815373968,47.6,48.07,48.14,48.540000000000006,0.0,49.87203766970524,0.0,1.1748861707889433,3.0882124891506404,-0.590674533643319,78,8750,1.1127506428894414,1.2551732402788431,3.4034883505999614,63.900000000000006
10,3276.4,3276.4,3276.4,3276.4,0.0,3348.6254418678523,0.0,0.0,8190.563377919996,1036.057430578626,8876.707882858787,4379.257329574652,1227.940874061989,517.95,5.416911853765575,0.0,71.2,71.2,71.2,71.2,0.0,72.60093322362698,0.0,1.4499127104899725,3.4094298675138925,0.0,88,8760,1.1127506428894414,1.4851586169176112,3.348276470164204,1196.5
11,2242.4,2242.4,2242.4,2242.4,0.0,2309.3588802166755,0.0,0.0,5605.169746052874,1036.480307344919,6279.996345257001,1853.7403163376594,1176.093722058715,498.75,5.400586681876976,0.0,43.2,43.2,43.2,43.2,0.0,44.25801210461874,0.0,1.4501955450936426,3.397923752360029,0.0,88,8760,1.1127506428894414,1.5287704225902699,3.3256827212700237,65.89999999999999
12,3874.8,3952.3500000000004,4014.3900000000003,4029.9,0.0,4082.246278230965,0.0,329.004686454057,10016.797247657894,1036.2211685362724,10476.135521834858,6258.201637225928,1209.872593812929,256.35,5.721849098747229,0.693445752049186,97.2,97.27,97.27,97.67,0.0,99.85846790831734,0.0,1.2048811379073656,3.558114003320272,-0.5943386563556085,78,8751,1.1127506428894414,1.2369922147832972,3.5016923357119447,674.6
13,2302.8,2389.82,2459.38,2477.17,0.0,2518.64322326278,0.0,370.48457183239645,6127.18802717446,1036.6404228935505,6547.4732575952075,2578.6386001856517,1030.0733666135545,187.05,5.705766422414878,0.6930035167966567,49.2,49.67,49.74,50.14,0.0,51.058652097501124,0.0,1.1840484414774228,3.115880126112435,-0.5854045054886642,75,8747,1.1127506428894414,1.2549074696940243,3.5477154923381864,64.0
14,3178.4,3178.4,3178.4,3178.4,0.0,3259.2101858679325,0.0,0.0,7945.664082727304,1036.1300194183639,8631.690922783178,4271.019864647975,1318.7097673392034,290.25,5.4116774346225185,0.0,70.0,70.0,70.0,70.0,0.0,71.50450505452939,0.0,1.441712889976846,3.446307446821118,0.0,88,8760,1.1127506428894414,1.4869131156584527,3.66871570206309,1188.2000000000003
15,2175.6,2175.6,2175.6,2175.6,0.0,2251.1840542926307,0.0,0.0,5438.8850053438755,1036.5020179391865,6114.9622402839705,1760.864773107693,1305.3861763802765,297.0,5.40030537250168,0.0,43.6,43.6,43.6,43.6,0.0,44.46086550531357,0.0,1.443653709840447,3.379487979198547,0.0,88,8760,1.1127506428894414,1.5252970661011898,3.6736858043749083,65.49999999999999
16,3950.0,4026.21,4087.3100000000004,4102.75,0.0,4155.089729062535,0.0,324.4867985553208,10199.768140891058,1036.1347396939657,10663.41702545734,6232.112123425859,1332.1814719373397,347.55,5.722510905855858,0.6933660644720218,98.80000000000001,98.87,98.87,99.27,0.0,101.53753360228522,0.0,1.204995143050787,3.654608370739102,-0.5915614011593219,79,8751,1.1127506428894414,1.2420005672471297,3.356677894919775,671.0000000000001
17,2376.8,2462.3399999999997,2530.5600000000004,2547.88,0.0,2590.527496702895,0.0,363.97976980897005,6305.764267944716,1036.5414508525866,6732.268088996623,2571.831355057083,1152.8254431435398,255.9,5.72876698839961,0.6930069030551087,50.800000000000004,51.27,51.34,51.74,0.0,52.81532450120589,0.0,1.2357171593833165,3.1159491878910197,-0.590594936839916,76,8748,1.1127506428894414,1.267051839787151,3.520439074534798,63.900000000000006
18,3255.6000000000004,3255.6000000000004,3255.6000000000004,3255.6000000000004,0.0,3335.649719381863,0.0,0.0,8138.140032391329,1036.0360211186296,8826.326319324713,4282.761487360493,1406.203541168219,385.65000000000003,5.398369753659724,0.0,70.8,70.8,70.8,70.8,0.0,72.3236142030482,0.0,1.4594405400958943,3.4823055294439906,0.0,88,8760,1.1127506428894414,1.4919070187325612,3.6394299756922726,1197.8000000000002
19,2237.6,2237.6,2237.6,2237.6,0.0,2311.6312016270713,0.0,0.0,5593.805973035884,1036.4334176332359,6271.585564254551,1763.895004342832,1374.3695219243928,381.75,5.390437178391242,0.0,42.800000000000004,42.800000000000004,42.800000000000004,42.800000000000004,0.0,43.52264773466772,0.0,1.4542634829643304,3.3890075622576847,0.0,88,8760,1.1127506428894414,1.5340178399411797,3.5730259059057867,65.3
20,4009.6000000000004,4083.86,4143.15,4158.12,0.0,4208.321806442821,0.0,315.75456375296153,10339.937116837129,1036.0558426241093,10811.981939146,6260.632629148628,1392.8190888613763,406.95000000000005,5.731604992354766,0.6929924328381613,99.60000000000001,99.67,99.67,100.07,0.0,102.35827754025026,0.0,1.2147809531720064,3.553485309284816,-0.590514367355956,80,8752,1.1127506428894414,1.2448261253750013,3.4226645085352287,683.0000000000001
21,2425.2000000000003,2509.4,2577.01,2593.9300000000003,0.0,2634.4763872239764,0.0,358.4059595424592,6421.03311768529,1036.4861062478055,6852.839555739065,2594.2765747475623,1198.3016901955025,308.55,5.72876698839961,0.6930204870030419,51.6,52.07,52.14,52.540000000000006,0.0,53.75130974448035,0.0,1.2231746098221288,3.100375703005066,-0.5891028940040038,76,8749,1.1127506428894414,1.2739158571156823,3.4494866562437294,64.0
22,3319.6000000000004,3319.6000000000004,3319.6000000000004,3319.6000000000004,0.0,3397.1253670365572,0.0,0.0,8298.06763470178,1035.9685339503,8987.054478429955,4309.017772492275,1474.0701744991409,452.40000000000003,5.467592700423814,0.0,72.8,72.8,72.8,72.8,0.0,74.22783749339195,0.0,1.452959788989057,3.4765912179666176,0.0,88,8760,1.1127506428894414,1.497036237039188,3.5199125001657605,1197.9
23,2304.8,2304.8,2304.8,2304.8,0.0,2378.862800170903,0.0,0.0,5761.0758598657085,1036.3715913627373,6439.219688843874,1784.7211289876352,1451.281738366291,451.65000000000003,5.503183195295506,0.0,43.6,43.6,43.6,43.6,0.0,44.60508950251341,0.0,1.449916785516064,3.388488636038585,0.0,88,8760,1.1132539325916715,1.5367862081607413,3.6261715696901473,64.69999999999999
24,3908.8,3985.01,4046.1100000000006,4061.55,0.0,4114.050366786971,0.0,324.689981971369,10096.625842005262,1036.1272047938564,10559.798899282892,6196.355574717637,1360.9320337692543,250.8,5.722404373534126,0.6930681944905288,98.4,98.47,98.47,98.87,0.0,101.00688970404853,0.0,1.2121036079991367,3.6611844482025213,-0.587496632429798,78,8751,1.1127506428894414,1.2414875590434082,3.4783292202816303,660.8000000000001
25,2350.0,2436.01,2504.7000000000003,2522.02,0.0,2563.8343865520505,0.0,365.7285972526255,6240.163116330706,1036.5368896650357,6664.752134757436,2547.1205416569774,1213.8203023044582,152.1,5.698647242186488,0.6928982568841655,50.400000000000006,50.870000000000005,50.940000000000005,51.34,0.0,52.32131454491065,0.0,1.2249091388452824,3.235749405065535,-0.5852272653433356,75,8747,1.1127506428894414,1.263642297957614,3.447540470297493,64.0
26,3170.0,3170.0,3170.0,3170.0,0.0,3248.127498518033,0.0,0.0,7924.932941582878,1036.0636121354562,8612.776791043703,4263.139242195912,1355.3762580517923,242.55,5.410817895521311,0.0,70.0,70.0,70.0,70.0,0.0,71.46609205243261,0.0,1.459469245983139,3.4820111879730398,0.0,88,8760,1.1127506428894414,1.4866003072011975,3.5251471386251616,1190.8999999999999
