label,house,file,py_file,draw
0,House.b18,wwhp.dck,zpy_wwhp.dck,old
1,House.b18,wwhp.dck,zpy_wwhp.dck,old
2,House.b18,wwhp.dck,zpy_wwhp.dck,old
3,House.b18,wwhp.dck,zpy_wwhp.dck,old
4,House.b18,wwhp.dck,zpy_wwhp.dck,old
5,House.b18,wwhp.dck,zpy_wwhp.dck,old
6,House.b18,wwhp.dck,zpy_wwhp.dck,old
7,House.b18,wwhp.dck,zpy_wwhp.dck,old
8,House.b18,wwhp.dck,zpy_wwhp.dck,old
9,House.b18,wwhp.dck,zpy_wwhp.dck,old
10,House.b18,wwhp.dck,zpy_wwhp.dck,old
11,House.b18,wwhp.dck,zpy_wwhp.dck,old
12,House.b18,wwhp.dck,zpy_wwhp.dck,old
13,House.b18,wwhp.dck,zpy_wwhp.dck,old
14,House.b18,wwhp.dck,zpy_wwhp.dck,old
15,House.b18,wwhp.dck,zpy_wwhp.dck,old
16,House.b18,wwhp.dck,zpy_wwhp.dck,old
17,House.b18,wwhp.dck,zpy_wwhp.dck,old
18,House.b18,wwhp.dck,zpy_wwhp.dck,old
19,House.b18,wwhp.dck,zpy_wwhp.dck,old
20,House.b18,wwhp.dck,zpy_wwhp.dck,old
21,House.b18,wwhp.dck,zpy_wwhp.dck,old
22,House.b18,wwhp.dck,zpy_wwhp.dck,old
23,House.b18,wwhp.dck,zpy_wwhp.dck,old
24,House.b18,wwhp.dck,zpy_wwhp.dck,old
25,House.b18,wwhp.dck,zpy_wwhp.dck,old
26,House.b18,wwhp.dck,zpy_wwhp.dck,old
27,House.b18,wwhp.dck,zpy_wwhp.dck,old
28,House.b18,wwhp.dck,zpy_wwhp.dck,old
29,House.b18,wwhp.dck,zpy_wwhp.dck,old
30,House.b18,wwhp.dck,zpy_wwhp.dck,old
31,House.b18,wwhp.dck,zpy_wwhp.dck,old
32,House.b18,wwhp.dck,zpy_wwhp.dck,old
33,House.b18,wwhp.dck,zpy_wwhp.dck,old
34,House.b18,wwhp.dck,zpy_wwhp.dck,old
35,House.b18,wwhp.dck,zpy_wwhp.dck,old
36,House.b18,wwhp.dck,zpy_wwhp.dck,old
37,House.b18,wwhp.dck,zpy_wwhp.dck,old
38,House.b18,wwhp.dck,zpy_wwhp.dck,old
39,House.b18,wwhp.dck,zpy_wwhp.dck,old
40,House.b18,wwhp.dck,zpy_wwhp.dck,old
41,House.b18,wwhp.dck,zpy_wwhp.dck,old
42,House.b18,wwhp.dck,zpy_wwhp.dck,old
43,House.b18,wwhp.dck,zpy_wwhp.dck,old
44,House.b18,wwhp.dck,zpy_wwhp.dck,old
45,House.b18,wwhp.dck,zpy_wwhp.dck,old
46,House.b18,wwhp.dck,zpy_wwhp.dck,old
47,House.b18,wwhp.dck,zpy_wwhp.dck,old
48,House.b18,wwhp.dck,zpy_wwhp.dck,old
49,House.b18,wwhp.dck,zpy_wwhp.dck,old
50,House.b18,wwhp.dck,zpy_wwhp.dck,old
51,House.b18,wwhp.dck,zpy_wwhp.dck,old
52,House.b18,wwhp.dck,zpy_wwhp.dck,old
53,House.b18,wwhp.dck,zpy_wwhp.dck,old
54,House.b18,wwhp.dck,zpy_wwhp.dck,old
55,House.b18,wwhp.dck,zpy_wwhp.dck,old
56,House.b18,wwhp.dck,zpy_wwhp.dck,old
57,House.b18,wwhp.dck,zpy_wwhp.dck,old
58,House.b18,wwhp.dck,zpy_wwhp.dck,old
59,House.b18,wwhp.dck,zpy_wwhp.dck,old
60,House.b18,wwhp.dck,zpy_wwhp.dck,old
61,House.b18,wwhp.dck,zpy_wwhp.dck,old
62,House.b18,wwhp.dck,zpy_wwhp.dck,old
63,House.b18,wwhp.dck,zpy_wwhp.dck,old
64,House.b18,wwhp.dck,zpy_wwhp.dck,old
65,House.b18,wwhp.dck,zpy_wwhp.dck,old
66,House.b18,wwhp.dck,zpy_wwhp.dck,old
67,House.b18,wwhp.dck,zpy_wwhp.dck,old
68,House.b18,wwhp.dck,zpy_wwhp.dck,old
69,House.b18,wwhp.dck,zpy_wwhp.dck,old
70,House.b18,wwhp.dck,zpy_wwhp.dck,old
